data_no,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
7,26-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Students (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Sol de Acapulco,"On 26 February 2021, in Ciudad de Mexico - Cuauhtemoc, students of the Normal Rural de Ayotzinapa and parents of the 43 disappeared students held a rally and demonstrated in front of the anti-monument to the 43 to denounce the lack of progress in the investigation of the Ayotzinapa case. [size=no report]",0,1614639875
11,26-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Journalists (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Hoy Tamaulipas,"On 26 February 2021, in Ciudad de Mexico - Cuauhtemoc, a group of workers of the Mexican State News Agency who had been on strike for a year blocked access to the press conference held by the President of Mexico at the National Palace to protest and demand an audience to discuss the existing conflict. [size=no report]",0,1614639876
12,26-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),CNTE: National Coordination of Education Workers; Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Jornada,"On 26 February 2021, in Ciudad de Mexico - Cuauhtemoc, CNTE members demonstrated to protest against a resolution of the Court of Justice of the Nation that determined that pensions should be calculated in Administrative Measurement Unit (UMA) and not in minimum wages. [size=no report]",0,1614639876
13,26-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Xochimilco,Ciudad de Mexico - Xochimilco,19.2635,-99.1049,La Prensa de Monclova,"On 26 February 2021, in Ciudad de Mexico - Xochimilco, workers at the Maternal and Pediatric Hospital demonstrated to demand to be vaccinated against the coronavirus. [size=no report]",0,1614639876
16,26-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Health Workers (Mexico),Mexico,Distrito Federal,Azcapotzalco,Ciudad de Mexico - Azcapotzalco,19.4841,-99.1844,La Prensa de Monclova; La Silla Rota,"On 26 February 2021, in Ciudad de Mexico - Azcapotzalco, health workers at the Women's Hospital demonstrated and blocked the Circuito Interior street to demand to be vaccinated against the coronavirus. [size=no report]",0,1614639875
17,26-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Health Workers (Mexico),Mexico,Distrito Federal,Coyoacan,Ciudad de Mexico - Coyoacan,19.3502,-99.1621,La Prensa de Monclova; La Silla Rota,"On 26 February 2021, in Ciudad de Mexico - Coyoacan, workers at the National Institute of Pediatrics (INP) demonstrated and blocked Insurgentes Sur Avenue to demand to be vaccinated against the coronavirus. [size=no report]",0,1614639875
54,25-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Health Workers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 25 February 2021, in Ciudad de Mexico - Cuauhtemoc, health workers of the Gregorio Salas Hospital demonstrated and blocked traffic to demand to be vaccinated against the coronavirus. [size=no report]",0,1614639876
92,24-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),,Mexico,Distrito Federal,Iztapalapa,Ciudad de Mexico - Iztapalapa,19.359,-99.0926,Entorno Informativo; La Silla Rota; El Universal (Mexico),"On 24 February 2021, in Ciudad de Mexico - Iztapalapa, two men were shot dead and two women shot and injured by several armed individuals in a street market in Colonia Valle del Sur. The perpetrators allegedly tried to extort money from the victims. 2 fatalities, 2 injured.",2,1614639875
95,24-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mixtec Indigenous Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Silla Rota,"On 24 February 2021, in Ciudad de Mexico - Cuauhtemoc, a group of Triqui indigenous people displaced from their communities due to insecurity began a sit-in at the Zocalo to demand greater security and the presence of the National Guard in the communities of Tierra Blanca, Copala. The protesters also carried out several roadblocks. [size=no report]",0,1614639876
99,24-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 24 February 2021, in Ciudad de Mexico - Cuauhtemoc, a group of members of the Cruz Azul cooperative demonstrated in front of the Attorney General's Office in Colonia Doctores to demand advancements in the complaints filed for the alleged illegal suspension of 150 members and benefits. [size=no report]",0,1614639876
102,24-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mixtec Indigenous Group (Mexico); Farmers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 24 February 2021, in Ciudad de Mexico - Cuauhtemoc, about 50 Triqui (Mixtec indigenous group) farmers demonstrated to ask to be allowed to sell their farm products and handcrafts in the different municipalities of Mexico City. [size=about 50]",0,1614639876
132,23-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Tlalpan,Ciudad de Mexico - Tlalpan,19.2883,-99.1671,Milenio; El Norte,"On 23 February 2021, in Ciudad de Mexico - Tlalpan, Distrito Federal, workers of the National Institute of Neurology and Neurosurgery blocked Avenida Insurgentes Sur in Colonia Barrio La Fama to demand to be vaccinated against the coronavirus. [size=no report]",0,1614639875
138,23-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 23 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, basic level education teachers of Michoacan protested in front of the National Palace and demanded the allocation of job positions. [size=no report]",0,1614639876
180,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Teachers (Mexico); Students (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 22 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, students and teachers of the Popular University of the Rivers of Tabasco protested outside the National Palace to request university scholarships. [size=no report]",0,1614639876
181,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 22 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, residents of Cuautitlan Izcalli protested outside the National Palace to denounce that they are at risk of flooding. [size=no report]",0,1614639876
183,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 22 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, representatives of the tortilla and dough industry from different parts of country held a symbolic took over of the Mexican Food Security (Segalmex) offices to demand a fair price of the tortilla. [size=no report]",0,1614639876
184,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 22 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, members of the independent group of Entrepreneurs for the Blind and Visually Impaired protested along Paseo de la Reforma against alleged operations in the Metro against them, which are affecting their sales and work. [size=no report]",0,1614639876
186,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Women (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 22 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, women of feminist organizations protested outside the facilities of the state delegation of the Attorney General's Office (FGR) in colonia Doctores against the prosecuting of women arrested in demonstrations against gender-based violence. [size=no report]",0,1614639876
248,20-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 20 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, around 70 administrative workers of the Higher Secondary Education Institute (IEMS) marched from the Palace of Fine Arts to the Senate of the Republic to demand that the federal government stop the subcontracting of workers. The government has been relying on subcontracting in the institute for years. [size=around 70]",0,1614639876
292,19-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Silla Rota,"On 19 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, merchants and transporters protested and blocked Eje Central avenue. The merchants of Venustiano Carranza protested against alleged corruption of the authorities in their entity. The transporters of the State of Mexico protested against the high fines affecting their monthly income. [size=no report]",0,1614024988
315,19-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 19 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, around 70 workers of fairs protested in front of the Zocalo to demand that the authorities allow them to resume their activities despite coronavirus restrictions. The protesters blocked calzada San Antonio Abad around Colonia Vista Alegre. [size=around 70]",0,1614024988
330,18-Feb-21,2021,Violence against civilians,Attack,La Union Tepito,,Mexico,Distrito Federal,Azcapotzalco,Ciudad de Mexico - Azcapotzalco,19.4841,-99.1844,El Blog del Narco,"On 18 February 2021, in Ciudad de Mexico - Azcapotzalco, Distrito Federal, a man was shot and killed by two armed men in Colonia Coltogo. According to the investigations, the victim was killed by members of La Union Tepito gang after he dated the girlfriend of one of the gang members. 1 fatality.",1,1614024988
344,18-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),,Mexico,Distrito Federal,Alvaro Obregon,Ciudad de Mexico - Alvaro Obregon,19.3908,-99.1954,Entorno Informativo,"On 18 February 2021, in Ciudad de Mexico - Alvaro Obregon, Distrito Federal, one woman and two men were shot and killed outside a house by two armed men in Colonia Lomas de Becerra. 3 fatalities.",3,1614024988
357,18-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),,Mexico,Distrito Federal,Iztapalapa,Ciudad de Mexico - Iztapalapa,19.359,-99.0926,La Silla Rota; Entorno Informativo,"Around 18 February 2021 (as reported), in Ciudad de Mexico - Iztapalapa, Distrito Federal, a person was killed and his body was found with signs of violence and wrapped in a blanket around Colonia Renovacion and Colonia Purisima. 1 fatality.",1,1614639875
368,18-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 18 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, residents of the Colonia Zorros Solidaridad in Tlalpan marched towards the capital's Zocalo against their eviction from a property on October 29 of 2019. [size=no report]",0,1614024988
369,18-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Indigenous Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 18 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, members of the Front of Indigenous Organizations blocked the intersection of Eje Central and Jose Maria Izazaga to demand credit support to activate the economy. The protesters pointed out that due to the coronavirus pandemic they do not have a permanent job and cannot access government loans. [size=no report]",0,1614024988
370,18-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Tlahuac,Ciudad de Mexico - Tlahuac,19.2706,-99.0048,Milenio,"On 18 February 2021, in Ciudad de Mexico - Tlahuac, Distrito Federal, residents blocked the Tlahuac-Chalco road near Acatlacho in Colonia Havana to protest against the lack of water supply. [size=no report]",0,1614024988
418,17-Feb-21,2021,Riots,Mob violence,Rioters (Mexico),,Mexico,Distrito Federal,Gustavo A. Madero,Ciudad de Mexico - Gustavo A. Madero,19.4829,-99.1135,La Silla Rota; El Proceso,"On 17 February 2021, in Ciudad de Mexico - Gustavo A. Madero, Distrito Federal, a group of hooded men broke in and destroyed facilities of the CCH Vallejo of the National Autonomous University of Mexico (UNAM). The rioters also violently evicted guard and security personnel. [size=no report]",0,1614024988
432,17-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),CNTE: National Coordination of Education Workers; Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 17 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, nearly 600 teachers members of the National Coordination of Education Workers (CNTE) started a sit-in with about 130 tents on Moneda street to demand better working conditions to the federal government. [size=nearly 600]",0,1614024988
436,17-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 17 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, at least 80 relatives of inmates in federal prisons protested in front of the National Palace to demand the resumption of conjugal and family visits which were suspended due to the coronavirus pandemic. [size=at least 80]",0,1614024988
458,16-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Gustavo A. Madero,Ciudad de Mexico - Gustavo A. Madero,19.4829,-99.1135,El Proceso,"On 16 February 2021, in Ciudad de Mexico - Gustavo A. Madero, Distrito Federal, residents protested outside the Old City Hall against the construction of a Mexicable station on the Zacatenco National Protected Area. [size=no report]",0,1614024988
495,16-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),CNTE: National Coordination of Education Workers; Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Norte; Milenio,"On 16 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, at least 100 teachers of the National Coordination of Education Workers (CNTE) marched to the Ministry of Public Education (SEP) to demand the automatic allocation of job positions. [size=at least 100]",0,1614024988
506,16-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Health Workers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 16 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, medical personnel of the Children's Hospital of Mexico 'Federico Gomez' marched against the disappearance of a doctor since 14 February. [size=no report]",0,1614024988
547,15-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Journalists (Mexico),Mexico,Distrito Federal,Miguel Hidalgo,Ciudad de Mexico - Miguel Hidalgo,19.4073,-99.1908,La Jornada,"On 15 February 2021, in Ciudad de Mexico - Miguel Hidalgo, families of disappeared and displaced journalists demonstrated in Colonia Polanco in front of the offices of the United Nations High Commissioner for Human Rights. The demonstrators demanded the intervention of the UN agency for the location of disappeared people, the identification of human remains located in graves, protection measures for activists and journalists, and justice for the relatives of the ABC daycare center fire. [size=no report]",0,1614024988
549,15-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Health Workers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Silla Rota,"On 15 February 2021, in Ciudad de Mexico - Cuauhtemoc, Distrito Federal, unionized health workers protested in front of the offices of the local Ministry of Health to demand to be vaccinated against the coronavirus. [size=no report]",0,1614024988
