data_no,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
371,18-Feb-21,2021,Protests,Protest with intervention,Protesters (United States),Labour Group (United States),United States,New York,New York,New York City,40.7142,-74.0059,New York Post,"On 18 February 2021, 10 people protested outside an Amazon facility on Linden Boulevard and another facility on Viele Avenue in New York City (New York) against Amazon's anti-union stance. Two protesters were ticketed with trespassing and disorderly conduct. [size=10]",0,1614122725
413,17-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,CBS2 (New York),"On 17 February 2021, people organized by Voices For Seniors protested outside of the US Attorney's Office for the Southern District of New York in New York - Manhattan (New York) over how Governor Cuomo has handled coronavirus pandemic in nursing homes as a new report showed that there was a much higher death toll in nursing homes than his administration reported and protesters called for an investigation. [size=no report]",0,1614122725
481,16-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),SEIU: Service Employees International Union; Labour Group (United States); Fight for 15,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Twitter; Crowd Counting Consortium,"On 16 February 2021, fast food workers and members of the 32BJ Service Employees International Union protested at the Charging Bull on Wall Street in New York - Manhattan (New York) as part of a strike demanding a $15 minimum wage. [size=no report]",0,1614122725
536,15-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),Government of the United States (2021-),United States,New York,New York,New York City,40.7142,-74.0059,Brownstoner; Crowd Counting Consortium,"On 15 February 2021, people and Council Member Carlos Menchaca marched from Foley Square to Attorney General James' office in New York City (New York) in protest of the New York Police Department's (NYPD) working with Immigration and Customs Enforcement (ICE) to apprehend an individual. [size=no report]",0,1614122725
538,15-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),Labour Group (United States); Teachers (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Indypendent; Twitter,"On 15 February 2021, people and members of Professional Staff Congress at City University of New York (CUNY), a union of faculty and staff, protested outside of CUNY's central office in New York - Manhattan (New York) against the Chancellor's decision to not pay equity increments agreed upon in their contract. [size=no report]",0,1614122725
539,15-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Indypendent; Twitter,"On 15 February 2021, people marched in New York - Manhattan (New York) in solidarity with an immigrant who is at risk of deportation. [size=no report]",0,1614122725
564,15-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),RAR: Rise and Resist,United States,New York,Queens,New York - Queens,40.7308,-73.7958,Indypendent,"On 15 February 2021, about 20 people and members of Rise and Resist protested outside of Lenox Hill Hospital in New York - Queens (New York) against 'medical tourism' or the practice of the wealthy traveling to well funded hospitals to receive the best care while less funded hospitals and low income people lack support, they chanted 'Queens needs hospital beds!' amid the coronavirus pandemic. [size=about 20]",0,1614122725
594,14-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Crowd Counting Consortium; Village Sun,"On 14 February 2021, residents of Robert Fulton House, City Council candidate Marni Halasa, and others protested in Chelsea New York - Manhattan (New York) against the construction of two new housing buildings with lower housing prices because it would require the relocation of current residents to a new building yet to be built as well as potential privatization. [size=no report]",0,1614122725
631,13-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),Government of the United States (2021-),United States,New York,Queens,New York - Queens,40.7308,-73.7958,Make the Road New York; Twitter,"On 13 February 2021, people and Sen. Gianaris, organized by Make the Road NY rallied in Astoria New York - Queens (New York) calling for lawmakers to support measure S4543 to fund workers who were excluded in coronavirus economic relief. [size=no report]",0,1614122725
698,12-Feb-21,2021,Riots,Violent demonstration,Rioters (United States),African American Group (United States); LGBT (United States); Women (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Yahoo News; Twitter; New York Post; ABC7 (New York),"On 12 February 2021, a group people participated in the Black Trans Liberation rally in East Village in New York - Manhattan (New York). Some demonstrators entered a restaurant and harassed patrons, broke glasses, stole things from inside the restaurant, defaced outdoor booths, and vandalized the outside of the restaurant writing, 'Black Women Matter' and 'Black Kids Matter.' [size=no report]",0,1614122725
