data_no,event_date,year,event_type,sub_event_type,actor1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
469,16-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Riverside,Riverside,33.9859,-117.3534,Crowd Counting Consortium; Twitter,"On 16 February 2021, an unreported number of people staged a 24-hour rally and vigil outside Stater Bros. in Riverside (California) against police brutality and the death of Ernie Serrano during an altercation with police. [size=no report]",0,1614122725
621,14-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Riverside,41.8361,-87.8272,WGN Channel 9,"On 14 February 2021, a small crowd of people led by two groups, the Indivisible West Suburban Action League and the student-led BLM group History Never Taught rallied outside the home of their landlord in Riverside (Illinois) to demand that he restore the residents' heat to sufficient levels amid the freezing temperatures. [size=a small crowd]",0,1614122725
761,11-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Chicago,41.85,-87.6501,Block Club Chicago,"On 11 February 2021, members of the Unite Here Local 1 union gathered in the Bronzeville neighborhood in Chicago (Illinois) to demand that locals are included in the future plans of a multibillion dollar redevelopment project. [size=no report]_x000D_",0,1613516909
1011,8-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Chicago,41.85,-87.6501,Tucson Sentinel,"On 8 February 2021, an unreported number of people staged a 'Raise the Wage' rally in Chicago (Illinois) in support of a $15 minimum wage. The protest was part of the One Fair Wage national campaign. [size=no report]",0,1613516909
1206,5-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Chicago,41.85,-87.6501,Chicago Sun-Times,"On 5 February 2021, over a dozen people including members of the Chicago Union of the Homeless gathered outside City Hall in Chicago (Illinois) calling on Mayor Lori Lightfoot to use hotels and abandoned homes as emergency shelter to keep homeless people warm during cold winters. [size=over a dozen]",0,1613516909
1882,26-Jan-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Chicago,41.85,-87.6501,Columbia Chronicle; Crowd Counting Consortium,"On 26 January 2021, around 200 members of the Sikh and Southeast Asian community organized by the group Chicago Stands With Farmers gathered outside the Daley Center in Chicago (Illinois) to show their solidarity with Indian farmers who are angered by three bills that would change the way India's farmers do business. [size=around 200]",0,1612546516
1943,25-Jan-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Chicago,41.85,-87.6501,Chicago Tribune; Pantagraph,"On 25 January 2021, more than 50 people including members of the South Side Roman Catholic Church gathered in Chicago (Illinois) to show support for Father Pfleger as he faces allegations of sexual abuse. [size=more than 50]",0,1612546516
2018,24-Jan-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Chicago,41.85,-87.6501,Twitter; Crowd Counting Consortium,"On 24 January 2021, people gathered outside of the Cook County Jail in Chicago (Illinois) in support of defunding and abolishing the prisons system. [size=no report]",0,1612546516
2019,24-Jan-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Chicago,41.85,-87.6501,Crowd Counting Consortium; Twitter,"On 24 January 2021, Chicago Public School students gathered in Chicago (Illinois) to protest against returning to school amid the coronavirus pandemic until it is safe for themselves and for their teachers. [size=no report] [schools]",0,1612546516
2070,23-Jan-21,2021,Protests,Peaceful protest,Protesters (United States),United States,New Jersey,Morris,Chatham,40.7409,-74.3837,Daily Record (New Jersey),"On 23 January 2021, more than 120 protesters protested at the Noe Pond Club in Chatham (New Jersey) against the development of Noe Pond as well as potential negative environmental impact of overdevelopment. [size=more than 120]",0,1612546516
