data_no,event_date,year,event_type,sub_event_type,actor1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
21,26-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"Around 26 February 2021 (as reported), in Tlaquepaque, Jalisco, a person was killed and his/her body was found wrapped in bags in Colonia La Micaelita. 1 fatality.",1,1614639876
103,24-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Tonala,Tonala,20.6233,-103.2456,Milenio,"Around 24 February 2021 (as reported), in Tonala, Jalisco, a man was shot dead by two armed individuals in Colonia Altamira. 1 fatality.",1,1614639876
104,24-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Milenio,"Around 24 February 2021 (as reported), in Tlaquepaque, Jalisco, a man was shot dead by several armed individuals in Colonia Duraznera. 1 fatality.",1,1614639876
108,24-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 24 February 2021, in Guadalajara, Jalisco, a group of taxi drivers demonstrated in front of the Government Palace to demand the instatement of fair fares, in light of app drivers who do not have to pay licenses and permits. [size=no report]",0,1614639876
170,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco; Milenio,"On 22 February 2021, in Guadalajara, Jalisco, at least 50 municipal and state police officers protested to the adoption of a bill decreasing retiring age. They also demanded improvements to social security benefits. [size=at least 50]",0,1614639875
176,22-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Metro Gdl,"On 22 February 2021, in Zapopan, Jalisco, a man was shot dead by two armed men in Colonia Mesa Colorada Poniente. 1 fatality.",1,1614639876
182,22-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 22 February 2021, in Guadalajara, Jalisco, taxi drivers started a hunger strike outside the Guadalajara Government Palace to protest against transport network platforms such as Uber, DIDI, pirate taxis and motorcycle taxis. They ended their hunger strike the next day. [size=no report]",0,1614639876
222,21-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Milenio,"On 21 February 2021, in Guadalajara, Jalisco, more than 20 family and friends of a young woman reported since 8 January gathered to protest and demand additional efforts and resources to find her. [size=more than 20]",0,1614639876
277,19-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,San Pedro Tlaquepaque,Tlaquepaque,20.6386,-103.3072,Entorno Informativo,"On 19 February 2021, in Tlaquepaque, Jalisco, five people were shot and killed inside a house in Colonia Guayabitos. According to the police, the house was a place where people consumed drugs and alcoholic drinks. 5 fatalities.",5,1614024988
289,19-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio; Metro Gdl,"Around 19 February 2021 (as reported), in Zapopan municipality, Jalisco, a man was killed and his body was found with gunshot wounds, his hands tied and covered with blankets inside a car on the highway to Saltillo. The victim worked at the Local Conciliation and Arbitration Board. 1 fatality.",1,1614639875
361,18-Feb-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,La Prensa de Monclova,"On 18 February 2021, in Guadalajara, Jalisco, four people were shot and killed by at least six armed men who left in two cars in Polanco Park. 4 fatalities.",4,1614024988
440,17-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,MiMorelia,"On 17 February 2021, in Jalisco state (coded to Guadalajara), members of the 'Collective of Fathers and Mothers in Custody' protested to demand to see their children who are waiting for their trial. The protesters explained that since March 2020 the General Council of the Judiciary closed family spaces as a preventive measure against the coronavirus, preventing parents from seeing their children. [size=no report]",0,1614024988
442,17-Feb-21,2021,Protests,Peaceful protest,Protesters (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"On 17 February 2021, in Guadalajara, Jalisco, residents of Tototlan protested outside the Jalisco Congress to demand that local deputies destitute their Mayor who is being accused of sexual harassment against a city council worker. [size=no report]",0,1614024988
443,17-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,Pagina 24 Jalisco,"Around 17 February 2021 (as reported), in Guadalajara, Jalisco, a human leg was found half buried in Colonia Huentitan. Number of fatality unclear.",0,1614024988
574,15-Feb-21,2021,Violence against civilians,Attack,Unidentified Gang (Mexico),Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,Milenio,"Around 15 February 2021 (as reported), in Zapopan, Jalisco, a man was killed and his body was found tied hands and feet and covered with a tarpaulin in Colonia Lomas del Centinela. The body had a cadaveric evolution of approximately 8 hours. 1 fatality.",1,1614024988
