data_no,event_date,year,event_type,sub_event_type,actor1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
281,19-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Twitter; Crowd Counting Consortium,"On 19 February 2021, about 30 people rallied and marched to the Newton Division Police Department in Los Angeles (California) in support of the Black Lives Matter movement and against police brutality and the deaths of Alex Flores, Cesar Rodrigues, Ernie Serrano, and Marco Vasques. [size=about 30]",0,1614122725
293,19-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,CBS2 (Los Angeles),"On 19 February 2021, an unreported number of people rallied at the Silverlake neighborhood in Los Angeles (California) in support of Recalling District Attorney Gascon and against the DA not seeking the death penalty in the case of Bree'Anna Guzman, who was murdered in 2011. [size=no report]",0,1614122725
374,18-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,People's City Council-Los Angeles,"On 18 February 2021, an unreported number of workers and supporters staged a 'Fight for 15' rally outside a McDonald's in Los Angeles (California) in support of striking workers, improving working conditions amid the coronavirus, an increase in the minimum wage, and rehiring of workers previously fired for striking. [size=no report]",0,1614122725
469,16-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Riverside,Riverside,33.9859,-117.3534,Crowd Counting Consortium; Twitter,"On 16 February 2021, an unreported number of people staged a 24-hour rally and vigil outside Stater Bros. in Riverside (California) against police brutality and the death of Ernie Serrano during an altercation with police. [size=no report]",0,1614122725
511,16-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,People's City Council-Los Angeles,"On 16 February 2021, an unreported number of workers staged a 'Fight for 15' strike and rally outside a McDonalds in Los Angeles (California) in support of raising the minimum wage. [size=no report]",0,1614122725
535,15-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Crowd Counting Consortium; Los Angeles Times; KTLA5; Spectrum News 1 (Southern California),"On 15 February 2021, an unreported number of students, teachers, and parents staged a 'Open Schools Car Rally' in Los Angeles (California) in support of resuming in-person learning during the coronavirus. Students First Coalition of Los Angeles organized the event. Leadership from the Catholic Archdiocese of Los Angeles, nondenominational private schools, several Protestant Christian schools, and 24 Orthodox Jewish schools attended. [size=no report]",0,1614122725
561,15-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Fox10 (Phoenix),"On 15 February 2021, an unreported number of people rallied in Los Angeles (California) in support of the Black Lives Matter movement and firing officers who created Valentine's Day cards mocking George Floyd. Project Islamic Hope lead the coalition of organizing groups. [size=no report]",0,1614122725
619,14-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,People's City Council-Los Angeles,"On 14 February 2021, an unreported number of people rallied outside the mayor's home in Los Angeles (California) against reports that the mayor's wife called police on demonstrators outside Getty House multiple times in the last year. White Moms for Black Lives organized the event. A prominent Black Lives Matter organized attended. [size=no report]",0,1614122725
621,14-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,Illinois,Cook,Riverside,41.8361,-87.8272,WGN Channel 9,"On 14 February 2021, a small crowd of people led by two groups, the Indivisible West Suburban Action League and the student-led BLM group History Never Taught rallied outside the home of their landlord in Riverside (Illinois) to demand that he restore the residents' heat to sufficient levels amid the freezing temperatures. [size=a small crowd]",0,1614122725
776,11-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,PETA,"On 11 February 2021, an unreported number of people with PETA rallied outside a Ralph's Grocery store in Los Angeles (California) against the alleged use of monkeys by the Kroger brand to harvest coconuts in Thailand. [size=no report]",0,1613516909
815,11-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,KTLA5; Hawaii News Now,"On 11 February 2021, an unreported number of people staged a 'Free Britney' rally outside the Stanley Mosk Courthouse in Los Angeles (California) in support of ending Britney Spears' conservatorship. [size=no report]",0,1613516909
912,9-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Crowd Counting Consortium; Fight For 15,"On 9 February 2021, an unreported number of people staged a 'Fight for 15' rally outside the Board of Supervisors building in Los Angeles (California) in support of increasing the minimum wage during the coronavirus. [size=no report]",0,1614122725
988,8-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Daily Bruin,"On 8 February 2021, dozens of students rallied outside the Wilshire Federal Building in Los Angeles (California) calling on the United States to take a stronger stance on the events in Myanmar and in support of democracy in Myanmar. Students with the Burmese Student Association attended.[size=dozens]",0,1613516909
1071,7-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,People's City Council-Los Angeles,"On 7 February 2021, an unreported number of people from the People's City Council rallied outside the mayor's home in Los Angeles (California) against reports that the mayor's wife called police on demonstrators over 80 times in 2020. [size=no report]",0,1613516909
1141,6-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Liberation News,"On 6 February 2021, an unreported number of people rallied and staged a car caravan in Los Angeles (California) in support of instating the single-payer health care plan, CalCare, amid the coronavirus pandemic. National Nurses United's California Nurses Association organized the event as part of a state-wide action. Members of the Peace and Freedom Party attended. The CNA has called for CalCare dating back to 2011, but COVID-19 has strained California's health system and increased the urgency of their call. [size=no report]",0,1613516909
1266,4-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Twitter; Crowd Counting Consortium,"On 4 February 2021, about 60 people rallied at 'Skid Row' in Los Angeles (California) in support of the unhoused community during the coronavirus. [size=about 60]",0,1612913871
1301,4-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Twitter; Crowd Counting Consortium,"On 4 February 2021, an unreported number of people rallied and marched in Los Angeles (California) in support of the Black Lives Matter movement and against police brutality and the deaths of Dijon Kizzee, AJ Weber, and Fred Williams. Members of the Coalition for Community Control Over the Police and at least nine family members of the deceased attended. About 25 sheriff's deputies in riot gear and carrying pepper bullet guns observed marchers from the roof of buildings along their route. [size=no report]",0,1612913871
1387,2-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Twitter; Crowd Counting Consortium,"On 2 February 2021, an unreported number of people rallied in Los Angeles (California) in support of Myanmar military coup leaders releasing Nobel laureate Aung San Suu Kyi and other National League for Democrat leaders from prison. [size=no report]",0,1612913871
1388,2-Feb-21,2021,Protests,Peaceful protest,Protesters (United States),United States,California,Los Angeles,Los Angeles,34.0433,-118.2495,Twitter; Crowd Counting Consortium,"On 2 February 2021, about 15 people rallied at the North Hills neighbourhood in Los Angeles (California) in support of tenants' rights and the Cancel the Rents movement during the coronavirus. [size=about 15]",0,1612913871
